key,index,random,target_pdf,pdf,social_ps,journal,publication_year,title,n_participants_after_exclusions,study_design_ignoring_trial_type_comparisons,n_groups_between,used_inferential_statistics,study,doi,author
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,474,b,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,226,b,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
27_1_1,27,1,1,1,NA,EJP,2011,Stop and start control: A distinction within self-control.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,221,b,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
15_2_2,15,2,2,2,NA,EJP,2011,Antecedents and consequences of peer-rated intelligence.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,111,b,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
10_3_3,10,3,3,3,NA,EJP,2011,Social support as mediator of the stress buffering effect of optimism: The importance of differentiating the recipients' and providers' perspective.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,580,b,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
31_4_4,31,4,4,4,NA,EJP,2011,Daily dynamics of personal identity and self-concept clarity.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,185,b,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,90,m,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
9_5_5,9,5,5,5,NA,EJP,2011,Adult parent-child relationships through the lens of social relations analyses: Prosocial personality and reciprocity of support.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,15729,b,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
42_6_6,42,6,6,6,NA,EJP,2011,Reproductive behavior and personality traits of the Five Factor Model.,NA,NA,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,96,b,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,95,b,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,100,b,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,109,b,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,105,b,NA,NA,NA,NA,NA
37_7_7,37,7,7,7,NA,EJP,2011,What I do and what I think they would do: Social axioms and behaviour.,NA,NA,NA,NA,NA,NA,NA
